pair,feature_name,source_table,best_horizon,max_corr,h15,h30,h45,h60,h75,h90,h105
usdjpy,open_lag_90,lag_usdjpy_90,h45,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,close_lag_90,lag_usdjpy_90,h45,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,close_lag_45,lag_usdjpy_45,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_first_90,reg_usdjpy,h45,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_const_term_90,reg_usdjpy,h45,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_const_term_45,reg_usdjpy,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_first_45,reg_usdjpy,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_upper_180,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_upper_90,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_upper_45,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,high_idx,usdjpy_idx,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_upper_360,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_agg_audusd_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_reg_audusd_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_upper_720,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_lag_nzdjpy_usdjpy,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_upper_1440,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_lag_audjpy_usdjpy,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_upper_2880,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_lag_cadjpy_usdjpy,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_lag_gbpjpy_usdjpy,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,low_lag_45,lag_usdjpy_45,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,low_lag_90,lag_usdjpy_90,h45,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,open_idx,usdjpy_idx,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,close_idx,usdjpy_idx,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_lag_eurusd_usdjpy,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_lower_2880,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_lower_1440,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_lag_usdcad_usdjpy,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,low_idx,usdjpy_idx,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_lower_720,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_lower_360,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_lower_45,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_lower_180,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_ci_lower_90,reg_usdjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_const_term_180,reg_usdjpy,h15,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,reg_first_180,reg_usdjpy,h15,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_lag_eurjpy_usdjpy,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
chfjpy,agg_sum_45,agg_chfjpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,val2,cov_lag_nzdusd_usdjpy,h90,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,pair2_val,tri_vol_eur_usd_jpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,pair2_val,tri_align_eur_usd_jpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,pair2_val,tri_agg_eur_usd_jpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
usdjpy,pair2_val,tri_mom_eur_usd_jpy,h105,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
